Association Code,Street Number,Street Name,Unit Number,Lot Number,CINC HOID
AA,123,Main St.,,,
AA,124,Main St.,,,
AA,125,Main St.,,,
AA,126,Main St.,,,
AA,127,Main St.,,,
AA,128,Main St.,,,
AA,129,Main St.,,,
AA,130,Main St.,,,
AA,131,Main St.,,,
AA,132,Main St.,,,
AA,133,Main St.,,,
AA,134,Main St.,,,
AA,135,Main St.,,,
AA,136,Main St.,,,
AA,137,Main St.,,,
AA,138,Main St.,,,
AA,139,Main St.,,,
AA,140,Main St.,,,
AA,141,Main St.,,,
AA,142,Main St.,,,
AA,143,Main St.,,,
AA,144,Main St.,,,
AA,145,Main St.,,,
AA,146,Main St.,,,
AA,147,Main St.,,,
AA,148,Main St.,,,
AA,149,Main St.,,,
AA,150,Main St.,,,
AA,151,Main St.,,,
AA,152,Main St.,,,
AA,153,Main St.,,,
AA,154,Main St.,,,
AA,155,Main St.,,,
AA,156,Main St.,,,
